"Geneid","5-days-old","10-days-old","15-days-old","20-days-old","25-days-old","30-days-old","35-days-old","40-days-old","45-days-old","55-days-old"
"Glyma.02G220000",445.963,309.465,175.627,135.784,63.617,81.352,75.185,62.367,55.543,98.953
"Glyma.02G220700",4.083,2.691,1.941,1.689,1.417,1.643,1.107,0.917,0.853,0.18
"Glyma.02G222300",8.359,6.205,6.007,4.139,2.621,5.058,2.594,1.945,1.94,1.029
"Glyma.02G228300",0.011,0.028,0.021,0.015,0.089,0.033,0.017,0.142,0.391,5.508
"Glyma.02G229900",8.25,7.984,5.522,4.803,2.666,4.234,2.104,2.049,2.157,0.589
"Glyma.02G232600",0.126,0.182,0.16,0.089,0.036,0.164,0.052,0.066,0.068,0.919
"Glyma.02G234800",4.854,7.389,8.505,13.353,17.898,17.552,14.143,26.421,53.771,214.621
"Glyma.02G238200",10.458,6.963,4.782,4.414,2.586,3.218,2.423,1.998,1.594,0.488
"Glyma.02G239600",11.121,7.523,7.404,8.907,7.019,9.783,8.075,5.554,3.643,2.533
"Glyma.02G244700",40.38,25.118,14.243,9.915,3.025,7.088,3.411,1.795,0.582,0.011
"Glyma.02G246000",0.178,0.172,0.158,0.223,0.329,0.246,0.411,0.715,4.645,69.563
"Glyma.02G247300",8.602,7.217,6.575,7.007,4.504,5.576,4.576,3.894,2.485,0.336
"Glyma.02G247900",30.124,28.432,18.886,18.992,5.637,9.917,7.322,3.279,0.814,0.011
"Glyma.02G251600",21.959,14.331,9.914,9.186,6.053,6.86,6.305,5.529,4.941,7.333
"Glyma.02G251800",0.044,0.044,0.074,0.09,0.031,0.067,0.025,0.005,0.01,0.004
"Glyma.02G256800",2.436,1.998,1.102,1.614,0.538,0.848,0.483,0.18,0.066,0.024
"Glyma.02G257200",5.24,3.307,1.717,1.482,0.663,1.033,0.564,0.37,0.445,0.436
"Glyma.02G259800",25.113,20.336,12.642,16.291,4.735,11.563,4.795,2.625,0.679,0.006
"Glyma.02G260600",7.496,5.795,3.649,3.429,1.436,2.301,1.464,0.843,0.353,0.17
"Glyma.02G261700",0.071,0.076,0.061,0.098,1.107,0.563,1.402,4.611,19.22,168.139
"Glyma.02G262500",0.242,0.542,1.442,2.072,17.932,3.833,10.524,29.316,85.515,255.88
"Glyma.02G264000",9.552,4.87,4.408,2.283,1.671,2.117,1.856,1.351,1.78,0.664
"Glyma.02G264800",2.758,2.411,1.38,1.215,0.747,0.694,0.44,0.245,0.071,0
"Glyma.02G266900",65.991,59.654,39.211,37.412,10.96,29.25,15.847,10.354,8.378,3.916
"Glyma.02G267900",5.002,5.002,3.614,2.715,1.579,1.966,1.974,1.398,0.923,0.322
"Glyma.02G272200",2.093,1.439,1.17,1.099,0.611,1.117,0.64,0.404,0.652,0.663
"Glyma.02G272400",48.651,43.225,36.989,23.108,10.857,12.601,10.418,7.258,9.951,19.111
"Glyma.02G273000",28.947,14.405,13.328,7.605,6.661,7.546,6.243,4.964,5.674,4.879
"Glyma.02G273100",34.972,18.522,6.008,5.61,3.417,6.058,2.335,1.502,1.143,0.764
"Glyma.02G274900",139.063,105.859,79.997,58.442,38.693,35.369,28.11,11.408,3.304,0.756
"Glyma.02G275300",24.566,20.596,18.178,15.748,11.533,14.56,9.738,6.477,6.142,2.331
"Glyma.02G279300",21.41,15.736,11.347,10.294,4.977,7.643,4.038,3.177,2.59,2.826
"Glyma.02G280800",7.791,4.42,3.786,2.969,0.997,2.204,1.691,0.879,1.406,0.656
"Glyma.02G281700",21.989,14.631,11.341,8.923,5.991,6.367,5.701,3.92,3.566,0.891
"Glyma.02G281900",7.733,4.305,5.525,4.024,3.262,3.655,2.994,1.985,2.282,1.435
"Glyma.02G288500",1.484,0.868,0.554,0.622,3.05,1.009,2.906,3.711,10.626,36.784
"Glyma.02G290700",6.248,4.492,3.634,3.31,2.182,3.025,1.618,0.749,0.191,0.085
"Glyma.02G291100",33.2,28.122,20.867,21.492,19.696,24.256,22.178,22.315,30.224,22.261
"Glyma.02G291200",0.028,0.085,0.133,0.522,2.85,0.901,3.249,5.271,17.129,47.237
"Glyma.02G292800",198.226,147.641,86.543,56.742,16.447,28.376,15.921,6.529,7.622,18.592
"Glyma.02G293500",44.375,35.223,22.38,21.019,8.647,12.613,12.85,7.94,7.128,4.634
"Glyma.02G294500",41.549,26.557,17.892,12.45,8.016,10.348,7.936,7.546,5.975,3.753
"Glyma.02G295100",64.611,56.569,43.763,39.577,26.833,29.166,22.201,13.564,6,1.486
"Glyma.02G303500",1.418,1.14,0.727,0.999,0.534,1.074,1.149,0.92,0.807,0.538
"Glyma.02G305400",134.037,188.672,83.204,42.306,8.651,14.2,10.128,3.177,0.318,0.003
"Glyma.02G307700",17.447,10.567,7.513,3.631,1.694,3.103,1.713,1.29,0.409,0.301
"Glyma.02G308000",8.325,6.85,3.957,4.46,3.256,3.05,2.27,1.617,1.208,0.319
